                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0566,                 8.0566,                 4.3416,                      0,                      0,                      0,                      0,                 4.5471,                 5.3612,                 4.1603,              3.333e-05,              3.333e-05,              3.333e-05
                      2,                 4.8015,                 7.4943,                 4.4035,                      0,                      0,                      0,                      0,                 4.5479,                 5.3602,                 4.1613,             7.7739e-05,             7.7739e-05,             7.7739e-05
                      3,                 4.6269,                 6.4264,                 4.3333,                      0,                      0,                      0,                      0,                 4.5491,                 5.3622,                 4.1618,             0.00012211,             0.00012211,             0.00012211
                      4,                 4.5182,                 6.0385,                 4.2979,                      0,                      0,                      0,                      0,                 4.5575,                 5.3677,                 4.1632,             0.00016645,             0.00016645,             0.00016645
                      5,                  4.537,                 5.9237,                 4.2788,                      0,                      0,                      0,                      0,                 4.5597,                 5.3757,                 4.1641,             0.00021076,             0.00021076,             0.00021076
                      6,                 4.1815,                 5.8383,                 4.3497,                      0,                      0,                      0,                      0,                 4.5633,                 5.3894,                 4.1655,             0.00025502,             0.00025502,             0.00025502
                      7,                 4.2603,                 5.7948,                  4.203,                      0,                      0,                      0,                      0,                 4.5743,                 5.4047,                 4.1678,             0.00029926,             0.00029926,             0.00029926
                      8,                 4.0025,                  5.843,                 4.1905,                      0,                      0,                      0,                      0,                 4.5859,                 5.4218,                 4.1713,             0.00034346,             0.00034346,             0.00034346
                      9,                 4.1451,                 5.2829,                  4.153,                      0,                      0,                      0,                      0,                 4.6002,                 5.4531,                 4.1761,             0.00038762,             0.00038762,             0.00038762
                     10,                  3.926,                 5.3134,                 4.1332,                      0,                      0,                      0,                      0,                  4.618,                 5.4996,                 4.1847,             0.00043175,             0.00043175,             0.00043175
                     11,                 3.9331,                 5.1777,                 4.0355,                      0,                      0,                      0,                      0,                 4.6474,                 5.4269,                 4.2013,             0.00047584,             0.00047584,             0.00047584
                     12,                 3.8287,                 5.1591,                  3.871,                      0,                      0,                      0,                      0,                 4.6862,                 5.1865,                 4.2245,              0.0005199,              0.0005199,              0.0005199
                     13,                 3.7694,                  5.068,                 3.8521,                      0,                      0,                      0,                      0,                 4.7455,                 5.3035,                  4.257,             0.00056392,             0.00056392,             0.00056392
                     14,                 3.6784,                 4.8236,                 3.6853,                      0,                      0,                      0,                      0,                 4.7816,                 5.3046,                 4.2828,              0.0006079,              0.0006079,              0.0006079
