                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.747,                 6.6989,                 4.3137,                      0,                      0,                      0,                      0,                 4.6255,                  5.443,                 4.1852,               0.003285,               0.003285,               0.003285
                      2,                 4.1711,                 5.6029,                 3.8338,                  3e-05,                0.00308,                  2e-05,                      0,                 4.2527,                 5.3547,                 4.0148,              0.0066157,              0.0066157,              0.0066157
                      3,                 3.8495,                 4.8481,                 3.2475,                0.20029,                0.00923,                  8e-05,                  1e-05,                 4.8226,                 239.41,                 7.6756,              0.0099438,              0.0099438,              0.0099438
                      4,                 3.4552,                 3.9881,                 2.7496,                0.01656,                0.14364,                0.00789,                0.00174,                 3.6705,                 69.283,                 3.1833,              0.0099881,              0.0099881,              0.0099881
                      5,                 3.1082,                 3.4053,                 2.4117,                0.87707,                0.05091,                0.04394,                0.01221,                 3.0766,                 3.6814,                  2.548,              0.0099842,              0.0099842,              0.0099842
                      6,                 3.0046,                 3.0485,                 2.2001,                0.72727,                0.06274,                0.04191,                0.01151,                 3.1127,                  3.826,                 2.2493,              0.0099802,              0.0099802,              0.0099802
                      7,                  2.858,                 2.8566,                 2.0911,                0.50821,                0.09287,                0.04631,                0.01538,                  2.854,                 2.9056,                 2.2657,              0.0099762,              0.0099762,              0.0099762
                      8,                 2.7626,                 2.7192,                 2.0186,                0.56098,                 0.2648,                0.12912,                0.04098,                  2.533,                 2.6212,                 2.1239,              0.0099723,              0.0099723,              0.0099723
                      9,                 2.6226,                 2.5724,                 1.9601,                0.51536,                0.12797,                0.11041,                0.03411,                 2.5366,                 2.2733,                 2.0768,              0.0099683,              0.0099683,              0.0099683
                     10,                 2.5442,                 2.4631,                 1.9063,                0.59435,                0.11636,                0.14193,                0.04895,                 2.6387,                 2.5758,                 2.1769,              0.0099644,              0.0099644,              0.0099644
                     11,                 2.4951,                 2.3636,                 1.8859,                0.44843,                0.24586,                0.39875,                 0.1213,                 2.4917,                 2.3714,                 2.0048,              0.0099604,              0.0099604,              0.0099604
                     12,                  2.462,                 2.3044,                 1.8527,                0.51779,                0.30296,                0.38834,                0.15124,                 2.7576,                  2.341,                 2.0712,              0.0099564,              0.0099564,              0.0099564
                     13,                 2.4056,                  2.214,                 1.8281,                0.27684,                0.32406,                0.31493,                0.09792,                 2.7446,                 2.5161,                 2.1674,              0.0099525,              0.0099525,              0.0099525
                     14,                 2.3514,                 2.1496,                 1.7793,                0.32076,                0.31262,                0.34698,                0.14446,                 2.5113,                 2.3158,                 2.1098,              0.0099485,              0.0099485,              0.0099485
                     15,                 2.3323,                 2.1151,                 1.7631,                0.31668,                0.52749,                0.42323,                0.16044,                 2.3378,                 2.0195,                 1.9199,              0.0099446,              0.0099446,              0.0099446
                     16,                 2.3138,                 2.0263,                 1.7564,                0.81969,                0.27602,                0.36013,                0.15355,                 2.3976,                 2.3733,                 2.0167,              0.0099406,              0.0099406,              0.0099406
                     17,                  2.242,                 1.9882,                 1.7191,                 0.5185,                0.39276,                 0.4209,                0.17413,                 2.3112,                 1.9561,                 1.9175,              0.0099366,              0.0099366,              0.0099366
                     18,                  2.235,                 1.9444,                 1.7096,                0.91092,                 0.2747,                0.44086,                0.19809,                 2.3649,                 2.1427,                 1.8928,              0.0099327,              0.0099327,              0.0099327
                     19,                 2.2046,                 1.8808,                 1.6971,                0.15449,                0.30152,                0.23495,                0.08854,                 2.4772,                 2.1829,                 1.9986,              0.0099287,              0.0099287,              0.0099287
                     20,                 2.1788,                 1.8383,                 1.6634,                0.57761,                0.37961,                0.42222,                0.23758,                 2.3245,                 1.9514,                 1.8705,              0.0099248,              0.0099248,              0.0099248
